simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   55944003,                    3.54665265,                    1.45401143,                    1.45401143,                    2.73799689
   55944004,                    3.54673778,                    3.70822502,                    3.70822502,                    8.40485242
   55946001,                    4.42285936,                    4.55474738,                    4.55474738,                    7.37549410
   55948001,                    4.44635033,                    4.42452720,                    4.42452720,                    7.09240732
   55949001,                   18.33782903,                   18.21680773,                   18.21680773,                   24.28120496
   55950001,                    2.12923425,                    2.17609042,                    2.17609042,                    5.66510959
   55951001,                   24.43914046,                   24.36448142,                   24.36448142,                   67.63153030
   55952001,                   24.08311447,                   24.16619357,                   24.16619357,                   51.15000000
   55953001,                    1.15766760,                    1.14886424,                    1.14886424,                    3.34552399
   55953002,                    3.43142212,                    3.54886863,                    4.08838327,                    6.97145612
   55954001,                   23.37170112,                   23.30805353,                   23.30805353,                   34.10000000
   55955001,                    3.03520989,                    3.01021319,                    3.01021319,                    8.52000000
   55955002,                    3.78281737,                    3.76814284,                    3.76814284,                    8.52000000
   55956001,                   13.45157163,                   13.45156472,                   13.45156472,                   17.04002045
   55956002,                    3.46632916,                    3.46631342,                    3.46631342,                    8.52006134
   55956003,                    8.99658641,                    8.99647401,                    8.99647401,                   17.03991821
   55957001,                    4.29108231,                    4.42267116,                    4.42267116,                   17.02676883
   55957002,                    4.36130945,                    4.35008615,                    4.35008615,                    8.51323117
